BSSID,recordDate,latitude,longitude,accuracy,RSSI,ssid,securityType,Channel,frequency,capabilities,totalSurveys,inconsistentLocation,SNR,Estimated_Distance,AP_Load,Congestion_Level,Throughput,Packet_Loss,Latency,Jitter,Optimal_AP,Optimal_Rate,distance_moved,Mobility_Flag,Recovered_From_Disconnect,Avg_Neighbor_RSSI,Avg_Throughput_BSSID,Avg_PacketLoss_BSSID,Fairness_Index,Best_AP_Label,Composite_Score
c4:e5:32:27:0c:d8,1970-01-01 00:27:59.084801821,52.2520633333333,-2.889735,6.30000019073486,-25,PLUSNET-R3C22J,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],8008,0,65,0.6812920690579612,25,175750.0,5.0,60,52775.0,7.5,0,24,21.100489155867475,True,False,-79.48567300746448,5.0,60.0,0.4448582420192499,AP66,0.4435899424762946
d4:86:60:8e:bd:00,1970-01-01 00:27:59.085447359,52.252065,-2.888555,6.30000019073486,-85,BT-6RC29N,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],11,0,5,68.12920690579611,11,101250.0,0.83,100,30445.0,3.96,1,72,96.81927647819045,True,False,-79.48085721165423,0.83,100.0,0.4448582420192499,AP35,0.23400777565026418
62:86:60:8e:bd:01,1970-01-01 00:27:59.085447359,52.252065,-2.888555,6.30000019073486,-85,BTWi-fi,OPEN,2,5180,[ESS],11,0,5,68.12920690579611,25,101250.0,0.38,100,30445.0,8.99,1,54,0.0,False,False,-79.48085721165423,0.38,100.0,0.4448582420192499,AP20,0.136979648195339
62:86:60:8e:bd:02,1970-01-01 00:27:59.085447359,52.252065,-2.888555,6.30000019073486,-85,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],9,0,5,68.12920690579611,23,101250.0,0.42,100,30445.0,4.65,1,72,0.0,False,False,-79.48085721165423,0.42,100.0,0.4448582420192499,AP32,0.21769490561520066
e4:75:dc:0a:19:48,1970-01-01 00:27:59.085482877,52.2510033333333,-2.88335833333333,2.09999990463257,-84,BT-NJAKHX,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],28,0,6,63.09573444801933,12,101250.0,0.92,100,30445.0,7.13,1,18,372.931093360494,True,False,-79.48093747491772,0.92,100.0,0.4448582420192499,AP27,0.17948142835213357
62:75:dc:0a:19:49,1970-01-01 00:27:59.085482877,52.2510033333333,-2.88335833333333,2.09999990463257,-85,BTWi-fi,OPEN,2,5180,[ESS],30,0,5,68.12920690579611,15,101250.0,0.62,100,30445.0,4.43,1,150,0.0,False,False,-79.48085721165423,0.62,100.0,0.4448582420192499,AP33,0.22349341493673122
62:75:dc:0a:19:4a,1970-01-01 00:27:59.085482878,52.2510033333333,-2.88335833333333,2.09999990463257,-85,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],30,0,5,68.12920690579611,28,101250.0,0.34,100,30445.0,4.89,1,24,0.0,False,False,-79.48085721165423,0.34,100.0,0.4448582420192499,AP32,0.21256068707177367
d8:ec:5e:85:95:29,1970-01-01 00:27:59.085488019,52.2510033333333,-2.88335833333333,2.09999990463257,-86,Airband_859526,WPA2,2,5500,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],9,0,4,73.56422544596414,17,101250.0,0.44,100,30445.0,5.59,1,54,0.0,False,False,-79.48077694839073,0.44,100.0,0.4448582420192499,AP29,0.1970585811883212
10:06:45:e7:52:c7,1970-01-01 00:27:59.085503224,52.2510033333333,-2.88335833333333,2.09999990463257,-59,PLUSNET-HWCP,WPA2,2,5240,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],18,0,31,9.261187281287937,18,101250.0,3.26,87,30438.5,5.47,1,150,0.0,False,True,-79.48294405650533,3.26,87.0,0.4448582420192499,AP52,0.3498441948049081
10:06:45:e7:52:c6,1970-01-01 00:27:59.085503225,52.2510033333333,-2.88335833333333,2.09999990463257,-60,PLUSNET-HWCP,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],36,0,30,10.0,15,175750.0,3.75,85,52787.5,3.86,0,150,0.0,False,False,-79.48286379324183,3.75,85.0,0.4448582420192499,AP47,0.3149948572484203
